mental hospital,2017,Ethiopia,7,39,12
mental hospital,2017,Sri Lanka,24,45,24
mental hospital,2017,Iraq,42,20,22
mental hospital,2017,Somalia,15,34,51
mental hospital,2017,Tunisia,47,41,67
mental hospital,2017,Burundi,46,69,15
mental hospital,2017,Sierra Leone,47,93,21
mental hospital,2017,Nicaragua,39,41,7
mental hospital,2017,Iran (Islamic Republic of),32,42,56
mental hospital,2017,Canada,22,73,49
mental hospital,2017,Trinidad and Tobago,49,50,6
mental hospital,2017,Eswatini,17,39,47
mental hospital,2017,Mauritius,5,30,58
mental hospital,2017,Serbia,34,95,27
mental hospital,2017,Equatorial Guinea,42,56,0
mental hospital,2017,Botswana,38,35,70
mental hospital,2017,The former Yugoslav Republic of Macedonia,14,57,53
mental hospital,2017,Bahrain,19,7,27
mental hospital,2017,Saint Vincent and the Grenadines,21,20,67
mental hospital,2016,Tonga,4,40,65
mental hospital,2016,Bangladesh,10,26,66
mental hospital,2016,Philippines,20,67,30
mental hospital,2016,Kenya,27,4,19
mental hospital,2016,Uganda,17,0,61
mental hospital,2016,Afghanistan,10,36,12
mental hospital,2016,Myanmar,33,96,33
mental hospital,2016,Guatemala,5,90,55
mental hospital,2016,Pakistan,32,92,22
mental hospital,2016,Mozambique,47,41,12
mental hospital,2016,Senegal,12,21,49
mental hospital,2016,Côte d’Ivoire,26,46,54
mental hospital,2016,India,44,72,12
mental hospital,2016,Peru,48,41,61
mental hospital,2016,Angola,0,42,0
mental hospital,2016,Ghana,33,95,25
mental hospital,2016,United Arab Emirates,27,2,66
mental hospital,2016,Turkey,8,98,36
mental hospital,2016,Malaysia,27,33,60
mental hospital,2016,Togo,29,17,50
mental hospital,2016,Syrian Arab Republic,4,61,41
mental hospital,2016,Rwanda,38,60,56
mental hospital,2016,Singapore,0,73,23
mental hospital,2016,Egypt,27,67,72
mental hospital,2016,Haiti,48,3,7
mental hospital,2016,Indonesia,32,69,51
mental hospital,2016,Eritrea,47,29,4
mental hospital,2016,Madagascar,2,60,16
mental hospital,2016,Nepal,46,38,0
mental hospital,2016,Liberia,45,3,37
mental hospital,2016,Chile,15,78,17
mental hospital,2016,Ecuador,23,99,61
mental hospital,2016,Panama,16,23,71
mental hospital,2016,Zimbabwe,28,52,38
mental hospital,2016,Greece,28,86,11
mental hospital,2016,Thailand,16,30,8
mental hospital,2016,Mexico,27,49,13
mental hospital,2016,Portugal,24,36,66
mental hospital,2016,Paraguay,9,69,44
mental hospital,2016,El Salvador,30,8,27
mental hospital,2016,Libya,31,19,43
mental hospital,2016,Morocco,16,62,12
mental hospital,2016,Yemen,15,93,18
mental hospital,2016,Mongolia,14,7,14
mental hospital,2016,Tajikistan,39,6,9
mental hospital,2016,Qatar,13,59,72
mental hospital,2016,Costa Rica,19,76,21
mental hospital,2016,Viet Nam,3,45,28
mental hospital,2016,Algeria,48,77,59
mental hospital,2016,Gabon,15,38,60
mental hospital,2016,Jordan,45,59,66
mental hospital,2016,Guinea-Bissau,42,6,21
mental hospital,2016,Zambia,36,11,20
mental hospital,2016,Albania,42,7,16
mental hospital,2016,Brazil,13,61,56
mental hospital,2016,Bolivia (Plurinational State of),41,48,22
mental hospital,2016,Saudi Arabia,25,24,31
mental hospital,2016,Uzbekistan,23,31,49
mental hospital,2016,Kyrgyzstan,37,22,18
mental hospital,2016,Azerbaijan,49,13,12
mental hospital,2016,Fiji,14,47,33
mental hospital,2016,South Africa,38,99,13
mental hospital,2016,Guyana,10,71,41
mental hospital,2016,Poland,41,44,37
mental hospital,2016,Lithuania,25,21,57
mental hospital,2016,Ukraine,19,0,46
mental hospital,2016,Estonia,12,23,20
mental hospital,2016,Israel,5,86,24
mental hospital,2016,Bulgaria,43,94,0
mental hospital,2016,Croatia,16,17,14
mental hospital,2016,Cuba,12,95,2
mental hospital,2016,Romania,40,69,63
mental hospital,2016,United States of America,29,75,64
mental hospital,2016,Belarus,7,18,24
mental hospital,2016,Georgia,42,93,30
mental hospital,2016,Slovenia,43,38,36
mental hospital,2016,Iceland,38,53,39
mental hospital,2016,Montenegro,21,9,36
mental hospital,2016,Uruguay,12,35,49
mental hospital,2016,Republic of Korea,32,34,58
mental hospital,2016,Samoa,22,59,28
mental hospital,2016,Saint Lucia,20,48,40
mental hospital,2016,Norway,1,35,3
mental hospital,2016,Ireland,47,90,5
mental hospital,2016,Argentina,6,38,11
mental hospital,2016,Grenada,40,71,19
mental hospital,2016,Antigua and Barbuda,2,92,24
mental hospital,2016,Seychelles,6,53,38
mental hospital,2016,Colombia,32,63,32
mental hospital,2016,Japan,4,8,34
mental hospital,2015,United Republic of Tanzania,20,12,8
mental hospital,2015,Jamaica,17,51,33
mental hospital,2015,China,12,51,2
mental hospital,2015,Australia,26,58,43
mental hospital,2015,Republic of Moldova,32,40,42
mental hospital,2015,Bosnia and Herzegovina,10,15,74
mental hospital,2015,Lebanon,38,72,70
mental hospital,2015,Cyprus,31,59,71
mental hospital,2015,Austria,27,67,64
mental hospital,2015,Russian Federation,36,93,70
mental hospital,2015,Czechia,34,18,25
mental hospital,2015,Luxembourg,10,37,6
mental hospital,2015,Spain,41,58,5
mental hospital,2015,Netherlands,34,25,11
mental hospital,2015,Bahamas,2,40,65
mental hospital,2015,Latvia,34,38,56
mental hospital,2015,Germany,37,74,14
mental hospital,2015,Barbados,30,74,21
mental hospital,2015,Switzerland,44,61,26
mental hospital,2015,Kiribati,48,89,4
mental hospital,2014,Honduras,4,30,46
mental hospital,2013,Belgium,13,82,11
outpatient facility,2017,Somalia,5,19,18
outpatient facility,2017,Burundi,26,18,69
outpatient facility,2017,Sierra Leone,5,41,9
outpatient facility,2017,Ethiopia,48,44,62
outpatient facility,2017,The former Yugoslav Republic of Macedonia,1,54,59
outpatient facility,2017,Serbia,34,42,56
outpatient facility,2017,Botswana,22,9,39
outpatient facility,2017,Canada,17,57,73
outpatient facility,2017,Equatorial Guinea,19,38,10
outpatient facility,2017,Trinidad and Tobago,16,86,5
outpatient facility,2017,Nicaragua,25,38,51
outpatient facility,2017,Bahrain,10,56,66
outpatient facility,2017,Sri Lanka,45,2,69
outpatient facility,2017,Maldives,1,67,65
outpatient facility,2017,Mauritius,8,48,39
outpatient facility,2017,Iraq,7,66,9
outpatient facility,2017,Saint Vincent and the Grenadines,9,49,16
outpatient facility,2017,Iran (Islamic Republic of),2,26,26
outpatient facility,2017,Niue,43,67,58
outpatient facility,2017,Finland,49,33,7
outpatient facility,2016,Afghanistan,16,79,37
outpatient facility,2016,Chad,28,84,11
outpatient facility,2016,South Sudan,24,87,9
outpatient facility,2016,Bolivia (Plurinational State of),28,83,29
outpatient facility,2016,Viet Nam,4,70,39
outpatient facility,2016,Côte d’Ivoire,5,93,10
outpatient facility,2016,Congo,32,51,61
outpatient facility,2016,Egypt,49,7,58
outpatient facility,2016,Senegal,15,52,67
outpatient facility,2016,Togo,21,55,26
outpatient facility,2016,Algeria,45,33,2
outpatient facility,2016,Ukraine,30,93,56
outpatient facility,2016,Gabon,28,13,8
outpatient facility,2016,Bangladesh,45,62,52
outpatient facility,2016,Guinea-Bissau,20,65,72
outpatient facility,2016,Zimbabwe,20,93,72
outpatient facility,2016,Yemen,11,68,65
outpatient facility,2016,Mongolia,37,71,67
outpatient facility,2016,Kenya,46,35,21
outpatient facility,2016,Myanmar,4,35,72
outpatient facility,2016,Namibia,42,53,24
outpatient facility,2016,Uzbekistan,18,46,14
outpatient facility,2016,Nepal,49,10,9
outpatient facility,2016,South Africa,39,48,69
outpatient facility,2016,Belarus,41,52,34
outpatient facility,2016,Haiti,28,7,53
outpatient facility,2016,Mexico,49,87,0
outpatient facility,2016,Azerbaijan,28,71,52
outpatient facility,2016,Tajikistan,21,2,44
outpatient facility,2016,Peru,41,39,24
outpatient facility,2016,India,21,69,33
outpatient facility,2016,Turkey,23,32,50
outpatient facility,2016,Zambia,29,6,11
outpatient facility,2016,Philippines,4,46,51
outpatient facility,2016,Singapore,29,87,0
outpatient facility,2016,Eritrea,21,37,53
outpatient facility,2016,Ecuador,7,17,51
outpatient facility,2016,Guyana,9,15,8
outpatient facility,2016,Colombia,0,19,13
outpatient facility,2016,Bulgaria,41,70,19
outpatient facility,2016,Malaysia,44,96,61
outpatient facility,2016,Qatar,36,22,64
outpatient facility,2016,Morocco,18,42,63
outpatient facility,2016,United States of America,13,6,65
outpatient facility,2016,Rwanda,31,85,30
outpatient facility,2016,Albania,25,15,30
outpatient facility,2016,Jordan,42,40,18
outpatient facility,2016,Sao Tome and Principe,19,67,63
outpatient facility,2016,Saudi Arabia,47,48,3
outpatient facility,2016,United Arab Emirates,29,36,8
outpatient facility,2016,Liberia,49,33,36
outpatient facility,2016,Georgia,4,10,27
outpatient facility,2016,Portugal,19,13,50
outpatient facility,2016,El Salvador,7,2,49
outpatient facility,2016,Mozambique,18,89,53
outpatient facility,2016,Chile,7,9,37
outpatient facility,2016,Romania,19,43,67
outpatient facility,2016,Tonga,12,36,9
outpatient facility,2016,Uganda,16,62,66
outpatient facility,2016,Cambodia,0,77,44
outpatient facility,2016,Kyrgyzstan,9,92,30
outpatient facility,2016,Thailand,26,83,33
outpatient facility,2016,Norway,15,55,60
outpatient facility,2016,Greece,0,21,6
outpatient facility,2016,Armenia,10,7,40
outpatient facility,2016,Paraguay,9,55,33
outpatient facility,2016,Guatemala,4,15,32
outpatient facility,2016,Brazil,5,15,33
outpatient facility,2016,Niger,44,61,58
outpatient facility,2016,Costa Rica,31,42,28
outpatient facility,2016,Argentina,21,12,0
outpatient facility,2016,Dominican Republic,34,14,38
outpatient facility,2016,Republic of Korea,42,6,71
outpatient facility,2016,Grenada,6,88,7
outpatient facility,2016,Samoa,37,28,61
outpatient facility,2016,Estonia,19,56,52
outpatient facility,2016,Saint Lucia,2,23,8
outpatient facility,2016,Seychelles,21,64,19
outpatient facility,2016,Belize,44,80,70
outpatient facility,2016,Syrian Arab Republic,5,75,2
